match_id,date,season,round,team,opponent,is_home,own_score,opp_score,result,tries,tackles_attempted,tackles_made,tackle_success_rate,carries,carry_metres,lineout_throws,lineout_won,lineout_success_rate,scrum_attempts,scrum_won,scrum_success_rate,turnovers_conceded,turnovers_won,penalties_conceded,yellow_cards,red_cards,possession_seconds,line_breaks,entries_22,entries_22_tries
945063,2025-01-05,2025,3,Kobelco Kobe Steelers,Toshiba Brave Lupus Tokyo,N,26,32,L,4,178,154,0.8652,140,1025.0,13,11,0.8462,47,47,1.0,15,10,9,0,1,1110.6,7,11,4
945064,2025-01-05,2025,3,Kubota Spears,Mie Honda Heat,N,32,27,W,4,182,161,0.8846,148,1060.0,13,12,0.9231,16,16,1.0,17,10,8,0,0,1285.5,12,13,4
945064,2025-01-05,2025,3,Mie Honda Heat,Kubota Spears,Y,27,32,L,4,204,171,0.8382,123,687.0,13,10,0.7692,72,64,0.8889,10,17,13,0,0,1072.1,4,5,4
945063,2025-01-05,2025,3,Toshiba Brave Lupus Tokyo,Kobelco Kobe Steelers,Y,32,26,W,4,222,200,0.9009,126,930.0,11,9,0.8182,80,80,1.0,10,15,6,0,0,1065.7,13,12,4
945068,2025-01-11,2025,4,BlackRams Tokyo,Toyota Verblitz,N,18,32,L,2,187,158,0.8449,124,922.0,12,11,0.9167,48,48,1.0,16,12,9,0,0,974.8,6,10,2
945067,2025-01-11,2025,4,Shizuoka BlueRevs,Yokohama Canon Eagles,N,35,53,L,5,249,217,0.8715,89,931.0,8,6,0.75,9,9,1.0,11,4,16,0,0,722.1,9,5,5
945066,2025-01-11,2025,4,Toshiba Brave Lupus Tokyo,Urayasu D-Rocks,Y,22,14,W,3,190,156,0.8211,134,1040.0,17,14,0.8235,32,32,1.0,14,13,10,1,0,1148.8,7,8,3
945068,2025-01-11,2025,4,Toyota Verblitz,BlackRams Tokyo,Y,32,18,W,5,187,162,0.8663,120,909.0,11,10,0.9091,80,80,1.0,12,16,6,1,0,1066.7,7,10,5
945066,2025-01-11,2025,4,Urayasu D-Rocks,Toshiba Brave Lupus Tokyo,N,14,22,L,2,203,179,0.8818,131,1090.0,21,16,0.7619,64,64,1.0,13,14,13,0,0,1181.8,4,14,2
945067,2025-01-11,2025,4,Yokohama Canon Eagles,Shizuoka BlueRevs,Y,53,35,W,8,140,111,0.7929,152,1174.0,16,15,0.9375,120,112,0.9333,4,11,6,0,0,1268.1,8,14,8
945071,2025-01-12,2025,4,Kobelco Kobe Steelers,Mitsubishi Sagamihara Dynaboars,N,26,34,L,4,127,114,0.8976,142,1059.0,20,15,0.75,40,40,1.0,21,8,8,0,0,1145.3,7,13,4
945070,2025-01-12,2025,4,Kubota Spears,Tokyo Sungoliath,N,26,26,D,4,195,168,0.8615,105,806.0,12,10,0.8333,40,32,0.8,13,14,8,1,0,1182.0,8,8,4
945069,2025-01-12,2025,4,Mie Honda Heat,Saitama Wild Knights,N,24,48,L,4,198,161,0.8131,125,857.0,17,16,0.9412,47,39,0.8298,10,6,10,1,1,1138.3,7,6,4
945071,2025-01-12,2025,4,Mitsubishi Sagamihara Dynaboars,Kobelco Kobe Steelers,Y,34,26,W,4,200,183,0.915,103,755.0,7,7,1.0,72,64,0.8889,8,21,18,1,0,950.0,4,8,4
945069,2025-01-12,2025,4,Saitama Wild Knights,Mie Honda Heat,Y,48,24,W,7,207,181,0.8744,123,895.0,10,6,0.6,32,32,1.0,6,10,9,0,0,1002.5,14,12,7
945070,2025-01-12,2025,4,Tokyo Sungoliath,Kubota Spears,Y,26,26,D,4,155,137,0.8839,135,1149.0,21,18,0.8571,40,32,0.8,14,13,9,0,0,1182.0,13,11,4
